rank,ticker,name,market_cap_krw,market_cap_h,sector,market
1,005930.KS,삼성전자,1515647700000000,1515.65조,전기·전자,KOSPI
2,000660.KS,SK하이닉스,1349858300000000,1349.86조,전기·전자,KOSPI
3,402340.KS,SK스퀘어,154655200000000,154.66조,금융,KOSPI
4,009150.KS,삼성전기,97176500000000,97.18조,전기·전자,KOSPI
5,005380.KS,현대차,91322000000000,91.32조,운송장비·부품,KOSPI
6,373220.KS,LG에너지솔루션,77103000000000,77.10조,전기·전자,KOSPI
7,105560.KS,KB금융,66184700000000,66.18조,금융,KOSPI
8,032830.KS,삼성생명,64800000000000,64.80조,보험,KOSPI
9,207940.KS,삼성바이오로직스,64668500000000,64.67조,제약,KOSPI
10,028260.KS,삼성물산,58542500000000,58.54조,유통,KOSPI
11,000270.KS,기아,55946200000000,55.95조,운송장비·부품,KOSPI
12,055550.KS,신한지주,51689900000000,51.69조,금융,KOSPI
13,329180.KS,HD현대중공업,51326000000000,51.33조,운송장비·부품,KOSPI
14,012450.KS,한화에어로스페이스,48366500000000,48.37조,운송장비·부품,KOSPI
15,034020.KS,두산에너빌리티,46953100000000,46.95조,기계·장비,KOSPI
16,012330.KS,현대모비스,44277500000000,44.28조,운송장비·부품,KOSPI
17,034730.KS,SK,42776600000000,42.78조,금융,KOSPI
18,068270.KS,셀트리온,40650400000000,40.65조,제약,KOSPI
19,086790.KS,하나금융지주,36436000000000,36.44조,금융,KOSPI
20,006400.KS,삼성SDI,35820300000000,35.82조,전기·전자,KOSPI
21,066570.KS,LG전자,30540900000000,30.54조,전기·전자,KOSPI
22,035420.KS,NAVER,29489800000000,29.49조,IT 서비스,KOSPI
23,267260.KS,HD현대일렉트릭,28477200000000,28.48조,전기·전자,KOSPI
24,000810.KS,삼성화재,28440400000000,28.44조,보험,KOSPI
25,010120.KS,LS ELECTRIC,27570000000000,27.57조,전기·전자,KOSPI
26,298040.KS,효성중공업,24840600000000,24.84조,전기·전자,KOSPI
27,005490.KS,POSCO홀딩스,24446000000000,24.45조,금속,KOSPI
28,009540.KS,HD한국조선해양,24275200000000,24.28조,금융,KOSPI
29,042660.KS,한화오션,24237300000000,24.24조,운송장비·부품,KOSPI
30,316140.KS,우리금융지주,22752800000000,22.75조,금융,KOSPI
31,006800.KS,미래에셋증권,22382700000000,22.38조,증권,KOSPI
32,015760.KS,한국전력,22083600000000,22.08조,전기·가스,KOSPI
33,010130.KS,고려아연,21373900000000,21.37조,금속,KOSPI
34,000150.KS,두산,20209900000000,20.21조,전기·전자,KOSPI
35,042700.KS,한미반도체,19824900000000,19.82조,기계·장비,KOSPI
36,138040.KS,메리츠금융지주,19613100000000,19.61조,금융,KOSPI
37,010140.KS,삼성중공업,19492000000000,19.49조,운송장비·부품,KOSPI
38,064350.KS,현대로템,18543300000000,18.54조,운송장비·부품,KOSPI
39,011200.KS,HMM,18478000000000,18.48조,운송·창고,KOSPI
40,051910.KS,LG화학,18459900000000,18.46조,화학,KOSPI
41,096770.KS,SK이노베이션,18443700000000,18.44조,화학,KOSPI
42,017670.KS,SK텔레콤,18343100000000,18.34조,통신,KOSPI
43,033780.KS,KT&G,18104500000000,18.10조,음식료·담배,KOSPI
44,024110.KS,기업은행,16825700000000,16.83조,금융,KOSPI
45,079550.KS,LIG디펜스앤에어로스페이스,16126000000000,16.13조,금속,KOSPI
46,011070.KS,LG이노텍,15620300000000,15.62조,전기·전자,KOSPI
47,010950.KS,S-Oil,15592700000000,15.59조,화학,KOSPI
48,267250.KS,HD현대,15569500000000,15.57조,금융,KOSPI
49,035720.KS,카카오,15349300000000,15.35조,IT 서비스,KOSPI
50,003550.KS,LG,15104100000000,15.10조,금융,KOSPI
51,018260.KS,삼성에스디에스,14841100000000,14.84조,IT 서비스,KOSPI
52,278470.KS,에이피알,14245200000000,14.25조,화학,KOSPI
53,047810.KS,한국항공우주,14133900000000,14.13조,운송장비·부품,KOSPI
54,086280.KS,현대글로비스,14092500000000,14.09조,운송·창고,KOSPI
55,003670.KS,포스코퓨처엠,13386400000000,13.39조,전기·전자,KOSPI
56,030200.KS,케이티,13155500000000,13.16조,통신,KOSPI
57,071050.KS,한국금융지주,13151300000000,13.15조,금융,KOSPI
58,272210.KS,한화시스템,12525400000000,12.53조,전기·전자,KOSPI
59,307950.KS,현대오토에버,12094000000000,12.09조,IT 서비스,KOSPI
60,005940.KS,NH투자증권,11313900000000,11.31조,증권,KOSPI
61,000720.KS,현대건설,11269200000000,11.27조,건설,KOSPI
62,323410.KS,카카오뱅크,11069200000000,11.07조,금융,KOSPI
63,259960.KS,크래프톤,10980800000000,10.98조,IT 서비스,KOSPI
64,005830.KS,DB손해보험,10467000000000,10.47조,보험,KOSPI
65,016360.KS,삼성증권,9778400000000,9.78조,증권,KOSPI
66,003490.KS,대한항공,9555300000000,9.56조,운송·창고,KOSPI
67,006260.KS,LS,9531600000000,9.53조,금융,KOSPI
68,352820.KS,하이브,9180800000000,9.18조,오락·문화,KOSPI
69,047050.KS,포스코인터내셔널,8901700000000,8.90조,유통,KOSPI
70,180640.KS,한진칼,8712500000000,8.71조,금융,KOSPI
71,443060.KS,HD현대마린솔루션,8603500000000,8.60조,일반서비스,KOSPI
72,161390.KS,한국타이어앤테크놀로지,8559800000000,8.56조,화학,KOSPI
73,039490.KS,키움증권,8511100000000,8.51조,증권,KOSPI
74,003230.KS,삼양식품,8399300000000,8.40조,음식료·담배,KOSPI
75,028050.KS,삼성E&A,8104600000000,8.10조,일반서비스,KOSPI
76,007660.KS,이수페타시스,7487700000000,7.49조,전기·전자,KOSPI
77,078930.KS,GS,7478100000000,7.48조,금융,KOSPI
78,090430.KS,아모레퍼시픽,7130300000000,7.13조,화학,KOSPI
79,064400.KS,LG씨엔에스,6675400000000,6.68조,IT 서비스,KOSPI
80,047040.KS,대우건설,6595100000000,6.60조,건설,KOSPI
81,021240.KS,코웨이,6510600000000,6.51조,일반서비스,KOSPI
82,000880.KS,한화,6472600000000,6.47조,화학,KOSPI
83,326030.KS,SK바이오팜,6194600000000,6.19조,일반서비스,KOSPI
84,032640.KS,LG유플러스,6154200000000,6.15조,통신,KOSPI
85,267270.KS,HD건설기계,6129200000000,6.13조,기계·장비,KOSPI
86,241560.KS,두산밥캣,5856800000000,5.86조,기계·장비,KOSPI
87,353200.KS,대덕전자,5732400000000,5.73조,전기·전자,KOSPI
88,138930.KS,BNK금융지주,5638600000000,5.64조,금융,KOSPI
89,001440.KS,대한전선,5585800000000,5.59조,전기·전자,KOSPI
90,029780.KS,삼성카드,5578600000000,5.58조,금융,KOSPI
91,004170.KS,신세계,5506500000000,5.51조,유통,KOSPI
92,009830.KS,한화솔루션,5492000000000,5.49조,화학,KOSPI
93,000100.KS,유한양행,5400100000000,5.40조,제약,KOSPI
94,377300.KS,카카오페이,5363500000000,5.36조,금융,KOSPI
95,271560.KS,오리온,5285000000000,5.29조,음식료·담배,KOSPI
96,175330.KS,JB금융지주,5242900000000,5.24조,금융,KOSPI
97,034220.KS,LG디스플레이,5215000000000,5.21조,전기·전자,KOSPI
98,062040.KS,산일전기,5183300000000,5.18조,전기·전자,KOSPI
99,036570.KS,엔씨소프트,5138200000000,5.14조,IT 서비스,KOSPI
100,000990.KS,DB하이텍,4863800000000,4.86조,전기·전자,KOSPI
101,128940.KS,한미약품,4849000000000,4.85조,제약,KOSPI
102,088980.KS,맥쿼리인프라,4837100000000,4.84조,인프라투용,KOSPI
103,454910.KS,두산로보틱스,4569800000000,4.57조,기계·장비,KOSPI
104,011790.KS,SKC,4379500000000,4.38조,화학,KOSPI
105,023530.KS,롯데쇼핑,4370600000000,4.37조,유통,KOSPI
106,001040.KS,CJ,4166500000000,4.17조,금융,KOSPI
107,066970.KS,엘앤에프,4149600000000,4.15조,전기·전자,KOSPI
108,000500.KS,가온전선,4119200000000,4.12조,전기·전자,KOSPI
109,082740.KS,한화엔진,3863600000000,3.86조,기계·장비,KOSPI
110,010060.KS,OCI홀딩스,3827400000000,3.83조,금융,KOSPI
111,088350.KS,한화생명,3795500000000,3.80조,보험,KOSPI
112,111770.KS,영원무역,3739900000000,3.74조,유통,KOSPI
113,002380.KS,KCC,3720700000000,3.72조,화학,KOSPI
114,051900.KS,LG생활건강,3713900000000,3.71조,화학,KOSPI
115,052690.KS,한전기술,3711200000000,3.71조,일반서비스,KOSPI
116,004020.KS,현대제철,3603000000000,3.60조,금속,KOSPI
117,018880.KS,한온시스템,3550900000000,3.55조,기계·장비,KOSPI
118,012510.KS,더존비즈온,3494900000000,3.49조,IT 서비스,KOSPI
119,069960.KS,현대백화점,3402900000000,3.40조,유통,KOSPI
120,001450.KS,현대해상,3307600000000,3.31조,보험,KOSPI
121,035250.KS,강원랜드,3149200000000,3.15조,오락·문화,KOSPI
122,251270.KS,넷마블,3129900000000,3.13조,IT 서비스,KOSPI
123,383220.KS,F&F,3068400000000,3.07조,섬유·의류,KOSPI
124,036460.KS,한국가스공사,3009400000000,3.01조,전기·가스,KOSPI
125,336260.KS,두산퓨얼셀,2970100000000,2.97조,전기·전자,KOSPI
126,011780.KS,금호석유화학,2966000000000,2.97조,화학,KOSPI
127,031210.KS,서울보증보험,2956900000000,2.96조,보험,KOSPI
128,103590.KS,일진전기,2937400000000,2.94조,전기·전자,KOSPI
129,139130.KS,iM금융지주,2920200000000,2.92조,금융,KOSPI
130,009420.KS,한올바이오파마,2904600000000,2.90조,제약,KOSPI
131,097950.KS,CJ제일제당,2882900000000,2.88조,음식료·담배,KOSPI
132,022100.KS,포스코DX,2856700000000,2.86조,일반서비스,KOSPI
