rank,ticker,name,market_cap_krw,market_cap_h,sector,market
1,005930.KS,삼성전자,1411876300000000,1411.88조,전기·전자,KOSPI
2,000660.KS,SK하이닉스,1153447400000000,1153.45조,전기·전자,KOSPI
3,402340.KS,SK스퀘어,132354300000000,132.35조,금융,KOSPI
4,009150.KS,삼성전기,88586700000000,88.59조,전기·전자,KOSPI
5,005380.KS,현대자동차,80265000000000,80.27조,운송장비·부품,KOSPI
6,373220.KS,LG에너지솔루션,73944000000000,73.94조,전기·전자,KOSPI
7,207940.KS,삼성바이오로직스,66103500000000,66.10조,제약,KOSPI
8,105560.KS,KB금융,59410200000000,59.41조,금융,KOSPI
9,032830.KS,삼성생명,56100000000000,56.10조,보험,KOSPI
10,028260.KS,삼성물산,52623400000000,52.62조,유통,KOSPI
11,000270.KS,기아,49855700000000,49.86조,운송장비·부품,KOSPI
12,329180.KS,HD현대중공업,49489200000000,49.49조,운송장비·부품,KOSPI
13,055550.KS,신한지주,47696100000000,47.70조,금융,KOSPI
14,012450.KS,한화에어로스페이스,46974300000000,46.97조,운송장비·부품,KOSPI
15,012330.KS,현대모비스,44413600000000,44.41조,운송장비·부품,KOSPI
16,034020.KS,두산에너빌리티,43045700000000,43.05조,기계·장비,KOSPI
17,068270.KS,셀트리온,42359700000000,42.36조,제약,KOSPI
18,034730.KS,SK,38643900000000,38.64조,금융,KOSPI
19,086790.KS,하나금융지주,34597800000000,34.60조,금융,KOSPI
20,035420.KS,NAVER,32173600000000,32.17조,IT 서비스,KOSPI
21,006400.KS,삼성SDI,31468600000000,31.47조,전기·전자,KOSPI
22,010120.KS,엘에스일렉트릭,28005000000000,28.00조,전기·전자,KOSPI
23,000810.KS,삼성화재해상보험,27458200000000,27.46조,보험,KOSPI
24,009540.KS,HD한국조선해양,25938300000000,25.94조,금융,KOSPI
25,066570.KS,LG전자,25817200000000,25.82조,전기·전자,KOSPI
26,042660.KS,한화오션,25708100000000,25.71조,운송장비·부품,KOSPI
27,267260.KS,HD현대일렉트릭,24512100000000,24.51조,전기·전자,KOSPI
28,316140.KS,우리금융지주,23990600000000,23.99조,금융,KOSPI
29,005490.KS,POSCO홀딩스,23970600000000,23.97조,금속,KOSPI
30,298040.KS,효성중공업,23814900000000,23.81조,전기·전자,KOSPI
31,015760.KS,한국전력공사,22019400000000,22.02조,전기·가스,KOSPI
32,010130.KS,고려아연,21707900000000,21.71조,금속,KOSPI
33,138040.KS,메리츠금융지주,20198800000000,20.20조,금융,KOSPI
34,000150.KS,두산,19740300000000,19.74조,전기·전자,KOSPI
35,011200.KS,HMM,19477900000000,19.48조,운송·창고,KOSPI
36,042700.KS,한미반도체,19253100000000,19.25조,기계·장비,KOSPI
37,010140.KS,삼성중공업,18568000000000,18.57조,운송장비·부품,KOSPI
38,006800.KS,미래에셋증권,18507700000000,18.51조,증권,KOSPI
39,033780.KS,케이티앤지,18281000000000,18.28조,음식료·담배,KOSPI
40,096770.KS,SK이노베이션,18156300000000,18.16조,화학,KOSPI
41,017670.KS,SK텔레콤,17612800000000,17.61조,통신,KOSPI
42,051910.KS,LG화학,17436300000000,17.44조,화학,KOSPI
43,196170.KQ,알테오젠,17067300000000,17.07조,일반서비스,KOSDAQ
44,035720.KS,카카오,16478900000000,16.48조,IT 서비스,KOSPI
45,024110.KS,기업은행,16068100000000,16.07조,금융,KOSPI
46,018260.KS,삼성에스디에스,15591600000000,15.59조,IT 서비스,KOSPI
47,267250.KS,HD현대,15490500000000,15.49조,금융,KOSPI
48,003550.KS,LG,14937800000000,14.94조,금융,KOSPI
