rank,ticker,name,market_cap_usd,market_cap_h,gics_sector,gics_industry
1,NVDA,Nvidia,5424535322616,5.42T,Information Technology,Semiconductors
2,AAPL,Apple Inc.,4572794223433,4.57T,Information Technology,"Technology Hardware, Storage & Peripherals"
3,GOOGL,Alphabet Inc. (Class A),4333065761332,4.33T,Communication Services,Interactive Media & Services
4,GOOG,Alphabet Inc. (Class C),4322915079642,4.32T,Communication Services,Interactive Media & Services
5,MSFT,Microsoft,3712698417529,3.71T,Information Technology,Systems Software
6,AMZN,Amazon,2960627467744,2.96T,Consumer Discretionary,Broadline Retail
7,TSM,TSM,2178526588738,2.18T,Information Technology,Semiconductors
8,AVGO,Broadcom,2035102551957,2.04T,Information Technology,Semiconductors
9,META,Meta Platforms,1508378373627,1.51T,Communication Services,Interactive Media & Services
10,TSLA,"Tesla, Inc.",1297742229687,1.30T,Consumer Discretionary,Automobile Manufacturers
11,BRK-B,Berkshire Hathaway,1125446284945,1.13T,Financials,Multi-Sector Holdings
12,LLY,Lilly (Eli),1057346667674,1.06T,Health Care,Pharmaceuticals
13,MU,Micron Technology,991121555794,991.12B,Information Technology,Semiconductors
14,JPM,JPMorgan Chase,950354699232,950.35B,Financials,Diversified Banks
15,WMT,Walmart,890111141343,890.11B,Consumer Staples,Consumer Staples Merchandise Retail
16,AMD,Advanced Micro Devices,789073112387,789.07B,Information Technology,Semiconductors
17,V,Visa Inc.,676804631387,676.80B,Financials,Transaction & Payment Processing Services
18,ASML,ASML Holding,668714255249,668.71B,Information Technology,Semiconductor Materials & Equipment
19,XOM,ExxonMobil,634342685843,634.34B,Energy,Integrated Oil & Gas
20,JNJ,Johnson & Johnson,624742088752,624.74B,Health Care,Pharmaceuticals
21,INTC,Intel,512722607696,512.72B,Information Technology,Semiconductors
22,MA,Mastercard,493149806416,493.15B,Financials,Transaction & Payment Processing Services
23,CSCO,Cisco,478608412573,478.61B,Information Technology,Communications Equipment
24,BAC,Bank of America,441731901412,441.73B,Financials,Diversified Banks
25,ABBV,AbbVie,434781524937,434.78B,Health Care,Biotechnology
26,AMAT,Applied Materials,428055298720,428.06B,Information Technology,Semiconductor Materials & Equipment
27,ORCL,Oracle Corporation,423486858726,423.49B,Information Technology,Application Software
28,COST,Costco,420338083255,420.34B,Consumer Staples,Consumer Staples Merchandise Retail
29,PLTR,Palantir Technologies,413350075944,413.35B,Information Technology,Application Software
30,LRCX,Lam Research,389585412937,389.59B,Information Technology,Semiconductor Materials & Equipment
31,CAT,Caterpillar Inc.,387133595889,387.13B,Industrials,Construction Machinery & Heavy Transportation Equipment
32,GE,GE Aerospace,383981120878,383.98B,Industrials,Aerospace & Defense
33,KO,Coca-Cola Company (The),374536924733,374.54B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
34,UNH,UnitedHealth Group,369687411785,369.69B,Health Care,Managed Health Care
35,CVX,Chevron Corporation,365956702008,365.96B,Energy,Integrated Oil & Gas
36,HD,Home Depot (The),354594629584,354.59B,Consumer Discretionary,Home Improvement Retail
37,MS,Morgan Stanley,340070762878,340.07B,Financials,Investment Banking & Brokerage
38,PG,Procter & Gamble,338879080211,338.88B,Consumer Staples,Personal Care Products
39,MRK,Merck & Co.,317570027803,317.57B,Health Care,Pharmaceuticals
40,NFLX,Netflix,308714485037,308.71B,Communication Services,Movies & Entertainment
41,GS,Goldman Sachs,302704703205,302.70B,Financials,Investment Banking & Brokerage
42,ARM,Arm Holdings,301784363464,301.78B,Information Technology,Semiconductors
43,RTX,RTX Corporation,300590497211,300.59B,Industrials,Aerospace & Defense
44,PANW,Palo Alto Networks,296545888061,296.55B,Information Technology,Systems Software
45,PM,Philip Morris International,295466361046,295.47B,Consumer Staples,Tobacco
46,DELL,Dell Technologies,293200042454,293.20B,Information Technology,"Technology Hardware, Storage & Peripherals"
47,WFC,Wells Fargo,263843942066,263.84B,Financials,Diversified Banks
48,GEV,GE Vernova,263755473886,263.76B,Industrials,Heavy Electrical Equipment
49,TXN,Texas Instruments,261261885748,261.26B,Information Technology,Semiconductors
50,KLAC,KLA Corporation,258839983977,258.84B,Information Technology,Semiconductor Materials & Equipment
51,ANET,Arista Networks,237955252028,237.96B,Information Technology,Communications Equipment
52,AXP,American Express,230219877641,230.22B,Financials,Consumer Finance
53,C,Citigroup,226453965705,226.45B,Financials,Diversified Banks
54,LIN,Linde plc,225871065331,225.87B,Materials,Industrial Gases
55,IBM,IBM,223549646909,223.55B,Information Technology,IT Consulting & Other Services
56,AMGN,Amgen,222323956604,222.32B,Health Care,Biotechnology
57,TMO,Thermo Fisher Scientific,219629887884,219.63B,Health Care,Life Sciences Tools & Services
58,CRWD,CrowdStrike,218335152953,218.34B,Information Technology,Systems Software
59,APH,Amphenol,208596132224,208.60B,Information Technology,Electronic Components
60,MRVL,Marvell Technology,196310917294,196.31B,Information Technology,Semiconductors
61,VZ,Verizon,195523726711,195.52B,Communication Services,Integrated Telecommunication Services
62,MCD,McDonald's,195019655984,195.02B,Consumer Discretionary,Restaurants
63,SHOP,Shopify,195016630045,195.02B,Information Technology,Application Software
64,TMUS,T-Mobile US,190066685726,190.07B,Communication Services,Wireless Telecommunication Services
65,ADI,Analog Devices,189929845939,189.93B,Information Technology,Semiconductors
66,PEP,PepsiCo,189747230224,189.75B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
67,SCHW,Charles Schwab Corporation,187130977899,187.13B,Financials,Investment Banking & Brokerage
68,ABT,Abbott Laboratories,186552618917,186.55B,Health Care,Health Care Equipment
69,BA,Boeing,185278538641,185.28B,Industrials,Aerospace & Defense
70,STX,Seagate Technology,184207600663,184.21B,Information Technology,"Technology Hardware, Storage & Peripherals"
71,DIS,Walt Disney Company (The),181146729212,181.15B,Communication Services,Movies & Entertainment
72,SNDK,Sandisk,179515879760,179.52B,Information Technology,"Technology Hardware, Storage & Peripherals"
73,TJX,TJX Companies,178255110080,178.26B,Consumer Discretionary,Apparel Retail
74,NEE,NextEra Energy,176578058574,176.58B,Utilities,Multi-Utilities
75,QCOM,Qualcomm,176253000640,176.25B,Information Technology,Semiconductors
76,BLK,BlackRock,175991879503,175.99B,Financials,Asset Management & Custody Banks
77,ETN,Eaton Corporation,174267309155,174.27B,Industrials,Electrical Components & Equipment
78,UNP,Union Pacific Corporation,174141353629,174.14B,Industrials,Rail Transportation
79,WELL,Welltower,170717919526,170.72B,Real Estate,Health Care REITs
80,DE,Deere & Company,167585256175,167.59B,Industrials,Agricultural & Farm Machinery
81,GILD,Gilead Sciences,165174434522,165.17B,Health Care,Biotechnology
82,T,AT&T,163018260887,163.02B,Communication Services,Integrated Telecommunication Services
83,BKNG,Booking Holdings,161111005434,161.11B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
84,CRM,Salesforce,157854064498,157.85B,Information Technology,Application Software
85,UBER,Uber,153232853420,153.23B,Industrials,Passenger Ground Transportation
86,PFE,Pfizer,152523266546,152.52B,Health Care,Pharmaceuticals
87,WDC,Western Digital,149695445285,149.70B,Information Technology,"Technology Hardware, Storage & Peripherals"
88,DHR,Danaher Corporation,143943420555,143.94B,Health Care,Life Sciences Tools & Services
