term                     phrase   argvAND
inflation                  3242      3242
data center                2643      3376
tariff                     1841      1841
Federal Reserve            1530      1714
rate hike                  1371      1747
Strait of Hormuz           1077      1089
crude oil                   904      1420
Treasury yield              768      1266
payrolls                    544       544
refinery                    284       284
AI capex                    110       460
credit spread                82       362
bond selloff                132       261
Bessent                     627       627
diesel                      275       275
