# REPORT 인수인계 (HANDOFF)

_갱신: 2026-09-13T09:13:22 · 리포트 85건 · 종목 311 · 섹터 12_

> 다운스트림은 매번 재검색하지 말고 이 표를 읽어라. 각 항목은 '어느 리포트가 무슨 평결로 이 종목/섹터를 다뤘나'의 인수인계다. 원문은 REPORT/ 해당 경로.

## 종목별

| 종목 | 리포트 수 | 평결 | 최근 리포트 |
|---|---|---|---|
| NVDA (Nvidia) | 36 | CONFIRMED FADING FRESH GO LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| MPC (Marathon Petroleum) | 31 | CONFIRMED ECHO FADING FRESH GO | `industry_US/CYCLE_EXPOSURE.md` |
| PSX (Phillips 66) | 30 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/HANDOVER.md` |
| AVGO (Broadcom) | 28 | CONFIRMED ECHO FADING FRESH GO | `industry_US/preflight/PREFLIGHT.md` |
| ANET (Arista Networks) | 27 | CONFIRMED FADING FRESH GO LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| HPE (Hewlett Packard Enterprise) | 21 | CONFIRMED ECHO FADING FRESH GO | `industry_US/preflight/PREFLIGHT.md` |
| EW (Edwards Lifesciences) | 21 | BROKEN CONFIRMED ECHO FADING FRESH | `industry_KR/EVENT_ALPHA.md` |
| ETN (Eaton Corporation) | 18 | CONFIRMED FADING FRESH GO LIVE | `industry_US/preflight/PREFLIGHT.md` |
| MU (Micron Technology) | 18 | CONFIRMED ECHO FADING FRESH GO | `industry_US/SECTOR_DEEP_IT.md` |
| 316140 우리금융지주 | 15 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/preflight/PREFLIGHT.md` |
| 028050 삼성E&A | 15 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/preflight/PREFLIGHT.md` |
| RTX (RTX Corporation) | 15 | CONFIRMED FADING FRESH GO LIVE | `industry_US/CYCLE_EXPOSURE.md` |
| VLO (Valero Energy) | 14 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/HANDOVER.md` |
| NDAQ (Nasdaq, Inc.) | 14 | CONFIRMED FRESH GO LIVE REAL | `industry_US/ACTION_TICKETS.md` |
| CL (Colgate-Palmolive) | 13 | CONFIRMED ECHO FADING FRESH GO | `industry_US/ACTION_TICKETS.md` |
| EA (Electronic Arts) | 13 | CONFIRMED FADING FRESH GO LIVE | `industry_US/preflight/PREFLIGHT.md` |
| KMI (Kinder Morgan) | 13 | CONFIRMED FRESH GO PARTIAL RESOLVED | `industry_KR/SECTOR_DEEP_UTIL.md` |
| XOM (ExxonMobil) | 13 | CONFIRMED FADING FRESH GO LIVE | `industry_KR/HANDOVER.md` |
| GM (General Motors) | 12 | BROKEN CONFIRMED ECHO FADING FRESH | `industry_KR/BET_SHEET.md` |
| NEM (Newmont) | 12 | CONFIRMED ECHO FADING FRESH GO | `industry_US/SECTOR_DEEP_MATR.md` |
| LIN (Linde plc) | 12 | CONFIRMED FADING FRESH GO LIVE | `preflight/industry_US/PREFLIGHT.md` |
| NUE (Nucor) | 11 | CONFIRMED ECHO FADING FRESH GO | `industry_US/preflight/PREFLIGHT.md` |
| MRVL (Marvell Technology) | 10 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/BET_SHEET.md` |
| DELL (Dell Technologies) | 10 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SWEEP_READ.md` |
| AMZN (Amazon) | 10 | CONFIRMED FADING FRESH GO LIVE | `industry_US/preflight/PREFLIGHT.md` |
| 005930 삼성전자 | 10 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/preflight/PREFLIGHT.md` |
| AMD (Advanced Micro Devices) | 9 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_KR/HANDOVER.md` |
| QCOM (Qualcomm) | 9 | CONFIRMED FADING FRESH GO LIVE | `industry_US/ACTION_TICKETS.md` |
| 000660 SK하이닉스 | 9 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/preflight/PREFLIGHT.md` |
| LITE (Lumentum) | 9 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_KR/HANDOVER.md` |
| COHR (Coherent Corp.) | 9 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SECTOR_DEEP_IT.md` |
| VST (Vistra Corp.) | 9 | FRESH GO 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_UTIL.md` |
| 036460 한국가스공사 | 8 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/BET_SHEET.md` |
| BAC (Bank of America) | 8 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SECTOR_DEEP_FIN.md` |
| CVX (Chevron Corporation) | 8 | CONFIRMED GO LIVE PARTIAL RESOLVED | `industry_KR/HANDOVER.md` |
| GOOGL (Alphabet Inc. (Class A)) | 7 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/SWEEP_READ.md` |
| WMT (Walmart) | 7 | FRESH GO LIVE REAL 🔴 | `industry_US/preflight/PREFLIGHT.md` |
| LLY (Lilly (Eli)) | 7 | BROKEN CONFIRMED FADING FRESH GO | `industry_US/SECTOR_ROTATION.md` |
| COP (ConocoPhillips) | 7 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/HANDOVER.md` |
| 052690 한전기술 | 6 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/BET_SHEET.md` |
| 051600 한전KPS | 6 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| META (Meta Platforms) | 6 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/SWEEP_READ.md` |
| BSX (Boston Scientific) | 6 | BROKEN ECHO FADING FRESH GO | `industry_US/BLINDSPOT_PREMORTEM.md` |
| SLB (Schlumberger) | 6 | CONFIRMED ECHO FRESH GO LIVE | `industry_KR/HANDOVER.md` |
| 047040 대우건설 | 6 | CONFIRMED ECHO FADING GO REAL | `industry_KR/EVENT_ALPHA.md` |
| 034020 두산에너빌리티 | 5 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| JPM (JPMorgan Chase) | 5 | CONFIRMED FRESH GO LIVE REAL | `industry_US/SECTOR_DEEP_FIN.md` |
| GEV (GE Vernova) | 5 | CONFIRMED FADING FRESH GO 🔴 | `industry_US/EVENT_ALPHA.md` |
| MSFT (Microsoft) | 5 | CONFIRMED FRESH GO LIVE PARTIAL | `company_NVDA/COMPANY_ANALYSIS.md` |
| WMB (Williams Companies) | 5 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/SWEEP_READ.md` |
| 005490 POSCO홀딩스 | 5 | CONFIRMED FADING GO REAL RESOLVED | `industry_KR/SECTOR_ROTATION.md` |
| 042700 한미반도체 | 5 | FADING GO WAIT 🔴 🟡 | `industry_KR/preflight/PREFLIGHT.md` |
| FCX (Freeport-McMoRan) | 5 | CONFIRMED FADING FRESH GO LIVE | `industry_US/EVENT_ALPHA.md` |
| CTVA (Corteva) | 5 | CONFIRMED FADING FRESH GO LIVE | `industry_KR/HANDOVER.md` |
| GOOG (Alphabet Inc. (Class C)) | 5 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/SWEEP_READ.md` |
| 000720 현대건설 | 5 | CONFIRMED ECHO FADING GO RESOLVED | `industry_KR/SECTOR_DEEP_INDU.md` |
| SNDK (Sandisk) | 5 | CONFIRMED FRESH GO LIVE REAL | `industry_US/2026-08-14/SECTOR_DEEP_COMM.md` |
| WDC (Western Digital) | 5 | CONFIRMED FRESH GO LIVE REAL | `industry_US/2026-08-14/SECTOR_DEEP_COMM.md` |
| 375500 DL이앤씨 | 4 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| 015760 한국전력 | 4 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| 088350 한화생명 | 4 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/SWEEP_READ.md` |
| DVN (Devon Energy) | 4 | CONFIRMED FRESH GO LIVE PARTIAL | `industry_US/ACTION_TICKETS.md` |
| GLW (Corning Inc.) | 4 | CONFIRMED FADING FRESH GO LIVE | `industry_US/BET_SHEET.md` |
| AMGN (Amgen) | 4 | GO LIVE REAL 🔴 🟡 | `industry_US/ACTION_TICKETS.md` |
| VRT (Vertiv) | 4 | CONFIRMED FRESH GO LIVE 🔴 | `industry_US/SECTOR_DEEP_IT.md` |
| GD (General Dynamics) | 4 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_INDU.md` |
| LHX (L3Harris) | 4 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_INDU.md` |
| NOC (Northrop Grumman) | 4 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_INDU.md` |
| LMT (Lockheed Martin) | 4 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_INDU.md` |
| ASML (ASML Holding) | 4 | CONFIRMED FADING GO LIVE 🔴 | `industry_KR/EVENT_ALPHA.md` |
| NEE (NextEra Energy) | 4 | CONFIRMED FADING GO LIVE 🔴 | `industry_US/SECTOR_ROTATION.md` |
| 096770 SK이노베이션 | 4 | CONFIRMED ECHO FADING FRESH GO | `industry_KR/EVENT_ALPHA.md` |
| 010950 S-Oil | 4 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/EVENT_ALPHA.md` |
| STLD (Steel Dynamics) | 4 | CONFIRMED FADING FRESH GO PARTIAL | `industry_US/EVENT_ALPHA.md` |
| EOG (EOG Resources) | 4 | CONFIRMED GO REAL 🔴 🟡 | `industry_US/ACTION_TICKETS.md` |
| 012510 더존비즈온 | 4 | GO LIVE WAIT 🔴 🟡 | `industry_KR/preflight/PREFLIGHT.md` |
| 057050 현대홈쇼핑 | 4 | GO LIVE WAIT 🔴 🟡 | `industry_KR/preflight/PREFLIGHT.md` |
| VZ (Verizon) | 4 | CONFIRMED FRESH GO LIVE REAL | `industry_US/SECTOR_DEEP_COMM.md` |
| TMUS (T-Mobile US) | 4 | CONFIRMED ECHO FRESH GO LIVE | `industry_US/SECTOR_DEEP_COMM.md` |
| CMCSA (Comcast) | 4 | CONFIRMED FRESH GO LIVE REAL | `industry_US/SECTOR_DEEP_COMM.md` |
| ABT (Abbott Laboratories) | 4 | BROKEN ECHO FADING FRESH GO | `industry_US/2026-08-13/ACTION_TICKETS.md` |
| BDX (Becton Dickinson) | 4 | BROKEN ECHO FADING FRESH GO | `industry_US/2026-08-13/ACTION_TICKETS.md` |
